Book Title,Original Price,Discount Price,Discount Percentage,Product Ratings,Reviews
How to Develop Self Confidence and Improve Public Speak...,₹339,₹445,23% off,4.2,(53)
The Earned Life,₹462,₹799,42% off,4.5,(4)
"As a Man Thinketh (PREMIUM PAPERBACK, PENGUIN INDIA)",₹124,₹125,N/A,4.3,(65)
Atma-Sakshatkar Abhi Baki Hai....,₹181,₹199,9% off,4.2,(11)
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
The Miracles of Your Mind,₹207,₹245,15% off,4.4,"(1,213)"
Breath,₹299,₹699,57% off,4.6,(94)
Personality Plus (English),₹319,₹350,8% off,4.4,(202)
The First Minute,₹238,"₹2,122",88% off,4.2,(36)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
How To Win Friends & Influence People (Telugu),₹191,₹201,4% off,4.3,(95)
The Richest Man in Babylon in Marathi (बेबीलोनचा सर्वां...,₹213,₹250,14% off,4.3,(7)
Happiness Unlimited  - How to be Happy-always!,₹297,₹399,25% off,4.6,(36)
The Moment of Lift,₹278,₹550,49% off,4.5,(146)
The Psychology Of Money In Hindi,₹299,₹599,50% off,4,(85)
Be What You Wish,₹211,₹275,23% off,4.5,(100)
My Spiritual Psychology,₹328,₹399,17% off,N/A,N/A
Psychology and Law for BA LLB & LLB By Dr. Naghma Javed...,₹175,₹190,7% off,4.6,(27)
Together With CUET UG Entrance Exam Books 2024 Psycholo...,₹299,N/A,N/A,N/A,N/A
The Art of Living,₹262,₹345,24% off,4.5,(117)
MPC-005: Research Methods in Psychology (IGNOU Study Gu...,₹212,₹350,39% off,N/A,N/A
Padakar Zilo Safalta Melavo,₹83,₹125,33% off,4.7,(10)
Ichchha Shakti,₹191,₹200,4% off,4.3,(52)
Outliers,₹428,₹599,28% off,4.5,"(2,059)"
Civilization and Its Discontents,₹223,₹295,24% off,4.4,(122)
Make Your Bed,₹288,₹329,12% off,4.5,(660)
Modern Gurukul,₹191,₹250,23% off,N/A,N/A
It Only Takes A Minute To Change Your Life (Marathi),₹225,₹250,10% off,4.3,(87)
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
How to Win Friends and Influence People,₹130,₹150,13% off,4.5,"(28,508)"
The Heart Of Buddha's Teaching,₹449,₹599,25% off,4.7,(305)
Manovigyan: Manovigyan Ke Adhar Evam Prayogik Manovigya...,₹169,₹190,11% off,4.5,(19)
Statistics in Psychology  - Manovigyan Me Sankhyiki,₹234,₹260,10% off,3.7,(16)
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Rich Dad Poor Dad &The Psychology Of Money Hindi,₹349,₹999,65% off,4.2,"(3,473)"
Social Psychology,₹418,₹465,10% off,4.1,(11)
HBR's 10 Must Reads on Public Speaking and Presenting (...,₹599,₹750,20% off,4.8,(16)
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
The Power of the Spoken Word,₹149,N/A,N/A,4.2,(30)
Notes From A Friend,₹369,₹399,7% off,4.6,(29)
Everything Is Out of Syllabus,₹318,₹399,20% off,4.5,(44)
Who Will Cry When You Die?,₹182,₹199,8% off,4.4,"(1,701)"
Atomic Habits {2015} English Paperback,₹299,₹499,40% off,4.3,(269)
Simple Trading Book New Patterns Trading Psychology New...,₹999,"₹3,999",75% off,4.3,(4)
A Whole New Mind,₹745,"₹1,199",37% off,4.2,(23)
Jeet Sako to Jeet Lo Hindi,₹113,₹150,24% off,5,(3)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The First Minute,₹238,"₹2,122",88% off,4.2,(36)
How to Win Friends and Influence People  - The First an...,₹199,N/A,N/A,4.5,"(28,508)"
How to Win Friends and Influence People,₹175,₹231,24% off,4.5,"(28,508)"
Kaise Jeete Aur Prabhavshali Bane,₹372,₹500,25% off,4.8,(8)
"""DSSSB Educational Psychology / Sheshik Manovigyan (Pri...",₹380,₹450,15% off,4.7,(3)
The Psychology Of Money In Hindi,₹299,₹599,50% off,4,(85)
The Miracles of Your Mind,₹207,₹245,15% off,4.4,"(1,213)"
Social Psychology 1 Edition,₹178,₹200,11% off,4,(5)
Sports Psychology (M.P.Ed New Syllabus),₹180,₹300,40% off,3.6,(9)
Be What You Wish,₹211,₹275,23% off,4.5,(100)
Four Thousand Weeks,₹269,₹599,55% off,4.3,(40)
You Can Achieve More (Marathi),₹259,₹350,26% off,4.6,(49)
As a Man Thinketh,₹415,₹623,33% off,4.4,"(19,406)"
As a Man Thinketh,₹587,₹881,33% off,4.4,"(19,406)"
As A Man Thinketh,₹788,"₹1,182",33% off,4.4,"(19,406)"
Evolve Your Brain,₹899,"₹1,687",46% off,4.3,(6)
Atomic Attraction,₹449,"₹1,495",69% off,4.3,(20)
As a Man Thinketh,₹588,₹882,33% off,4.4,"(19,406)"
Our Iceberg is Melting,₹291,₹399,27% off,4.5,(115)
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
How to Win Friends and Influence People,₹156,₹170,8% off,4.5,"(28,508)"
"Basic and Applied Psychology for Nurses, First edition",₹479,₹595,19% off,N/A,N/A
House Made Of Dawn [50th Anniversary Edition],₹675,₹699,3% off,N/A,N/A
Revolution 101: Manjunathism,₹307,₹350,12% off,N/A,N/A
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
Modern Gurukul,₹141,₹150,6% off,N/A,N/A
HBR's 10 Must Reads on Public Speaking and Presenting (...,₹599,₹750,20% off,4.8,(16)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
Atomic Habits {2015} English Paperback,₹299,₹499,40% off,4.3,(269)
Who Will Cry When You Die?,₹182,₹199,8% off,4.4,"(1,701)"
You Can Achieve More (Marathi),₹259,₹350,26% off,4.6,(49)
The Science of Getting Rich,₹143,₹150,4% off,4.4,(448)
The Inner Game of Tennis,₹428,₹599,28% off,4.3,(54)
Simple Trading Book New Patterns Trading Psychology New...,₹999,"₹3,999",75% off,4.3,(4)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
